,m:A_1.txt,m:A_2.txt,m:B_1.txt,m:B_2.txt,m:C_1.txt,m:C_2.txt,t:a_1.txt,t:a_2.txt,t:b_1.txt,t:b_2.txt,t:c_1.txt,t:c_2.txt
m:A_1.txt,0.9999999999999998,0.0323120204546324,-0.19691224371125474,0.06734006390980461,0.0737437614094005,0.07832206366953473,0.22343734561758846,0.21096202544951323,0.03205910484864251,0.0941023483175201,0.15741160599102477,0.12996852235304518
m:A_2.txt,0.0323120204546324,0.9999999999999998,0.23130667609398137,0.1733921000690748,0.34160112944967136,0.18100879003668213,0.18530339272878596,0.23621326407095,0.16694876925734717,-0.03125556069386004,0.2981706322762164,0.13294305455755145
m:B_1.txt,-0.19691224371125474,0.23130667609398137,1.0,0.0901796577231237,0.24551620158138157,0.24331832097927392,0.2831626667134032,0.076651818555093,0.04345658508516825,-0.05876578062562838,0.11926690173817148,-0.0015949663648126972
m:B_2.txt,0.06734006390980461,0.1733921000690748,0.0901796577231237,0.9999999999999999,0.12342502273083245,0.18395607706210898,0.08351353620917057,0.09844633460485694,0.278241898232135,-0.06739638481906778,0.12339033302427135,-0.016442453165154608
m:C_1.txt,0.0737437614094005,0.34160112944967136,0.24551620158138157,0.12342502273083245,0.9999999999999998,0.3478214917019319,0.30470144864332316,0.11481505720843367,0.3293418735473751,0.07716331793608919,0.35775477306028225,0.2630679265683136
m:C_2.txt,0.07832206366953473,0.18100879003668213,0.24331832097927392,0.18395607706210898,0.3478214917019319,0.9999999999999999,0.3309103353847441,0.07579281572032756,0.17956808763263646,-0.11890141469650906,0.17147714701855132,0.3008899780966744
t:a_1.txt,0.22343734561758846,0.18530339272878596,0.2831626667134032,0.08351353620917057,0.30470144864332316,0.3309103353847441,0.9999999999999999,0.0030744980811064637,0.17374042663268796,0.064094492701697,0.12691889620950056,0.24315422749854382
t:a_2.txt,0.21096202544951323,0.23621326407095,0.076651818555093,0.09844633460485694,0.11481505720843367,0.07579281572032756,0.0030744980811064637,1.0,-0.025346185914405017,0.03625272908353068,0.3358574355049334,0.14879033445899864
t:b_1.txt,0.03205910484864251,0.16694876925734717,0.04345658508516825,0.278241898232135,0.3293418735473751,0.17956808763263646,0.17374042663268796,-0.025346185914405017,1.0000000000000002,0.0036345262145223434,0.2793280799478588,0.026026953318077525
t:b_2.txt,0.0941023483175201,-0.03125556069386004,-0.05876578062562838,-0.06739638481906778,0.07716331793608919,-0.11890141469650906,0.064094492701697,0.03625272908353068,0.0036345262145223434,1.0,0.04396028221153063,0.21953088746514404
t:c_1.txt,0.15741160599102477,0.2981706322762164,0.11926690173817148,0.12339033302427135,0.35775477306028225,0.17147714701855132,0.12691889620950056,0.3358574355049334,0.2793280799478588,0.04396028221153063,1.0000000000000004,0.060604244985135565
t:c_2.txt,0.12996852235304518,0.13294305455755145,-0.0015949663648126972,-0.016442453165154608,0.2630679265683136,0.3008899780966744,0.24315422749854382,0.14879033445899864,0.026026953318077525,0.21953088746514404,0.060604244985135565,0.9999999999999999
